ID,Restaurant Name,Image Source,Discount,Restaurant Link
24,Cartofisserie,https://images.deliveryhero.io/image/stores-glovo/stores/aac4dcd9bc645909681409b9f9438f8ac8dba4aa3ecd9ae759b77c277c50064b?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,,https://glovoapp.com/ro/ro/cluj-napoca/cartofisserie-clj/
25,Spartan,https://images.deliveryhero.io/image/stores-glovo/stores/93768be4b49f841102211198d94b3e920e4657210546532655c57dfd9633dae9?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,,https://glovoapp.com/ro/ro/cluj-napoca/spartan-clj/
26,Pizza Giuseppe,https://images.deliveryhero.io/image/stores-glovo/stores/ec0992ed5fccc4f18f05fdcce09d9b1467f46d3ad10cb34cfb79aec5f9d89ad3?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,-30%,https://glovoapp.com/ro/ro/cluj-napoca/pizza-giuseppe/
27,Taco Bell,https://images.deliveryhero.io/image/stores-glovo/stores/cce0909104867f3fc10c593ea6183312cb4fe56069317c00f8239f36ec2c2112?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,,https://glovoapp.com/ro/ro/cluj-napoca/taco-bell-/
28,Starbucks,https://images.deliveryhero.io/image/stores-glovo/stores/6c8bd0a749a5c002e8c9fb01de96821340aa2a9a886572272e64c407dc452d39?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,,https://glovoapp.com/ro/ro/cluj-napoca/starbucks-cluj/
29,Sultan,https://images.deliveryhero.io/image/stores-glovo/stores/f6cbcb591b02eead2618f685261373d2522903b5073add29bacc4c27dd85f39c?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,-20%,https://glovoapp.com/ro/ro/cluj-napoca/sultan-d-ner-shawarma/
30,Pizza Hut,https://images.deliveryhero.io/image/stores-glovo/stores/4fa8cdbbe3f7c33137fc168380cc8b0f09a95fed68c0ea3f22da6acc1536a247?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,,https://glovoapp.com/ro/ro/cluj-napoca/pizzahut/
31,The Doner Place by Doner Maxx,https://images.deliveryhero.io/image/stores-glovo/stores/c79357b24c48fddc0e51c4453ff28deca230d09c63830f305fca0e571fad6d3e?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,-40%,https://glovoapp.com/ro/ro/cluj-napoca/doner-maxx-clj/
32,Cut & Crust,https://images.deliveryhero.io/image/stores-glovo/stores/60eb57c584fe6ebd8f4659bebe564f245933ba66b2e8f0bab7f7c19d70cc27fd?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,,https://glovoapp.com/ro/ro/cluj-napoca/cut-crust-clj/
33,Mesopotamia,https://images.deliveryhero.io/image/stores-glovo/stores/547de204af254ae6108476abb3008b7408c6d7d8cdc9f19e8e04d7d012f5ca75?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,,https://glovoapp.com/ro/ro/cluj-napoca/mesopotamia-cluj/
